"","ï..Id","seed_sown_current_3","sowing_date_current_3","harvest_date_current_3","ParentId1","ParentId2"
"286",2,225,"3/8/2016 12:00:00 AM","6/14/2016 12:00:00 AM",0,"9f1b42836c4d46b2a4979d3e4bad4efe"
"287",4,0.25,"3/28/2016 12:00:00 AM","6/29/2016 12:00:00 AM",0,"9f1b42836c4d46b2a4979d3e4bad4efe"
"288",3,6000,"1/15/2016 12:00:00 AM","11/24/2016 12:00:00 AM",0,"a0008350a5f14a5cae5c9762f6af2006"
"289",2,1350,"4/15/2016 12:00:00 AM","7/14/2016 12:00:00 AM",0,"a0008350a5f14a5cae5c9762f6af2006"
"290",1,2000,"4/22/2016 12:00:00 AM","8/27/2016 12:00:00 AM",0,"a0008350a5f14a5cae5c9762f6af2006"
"291",3,1000,"2/12/2016 12:00:00 AM","11/12/2016 12:00:00 AM",0,"a359e73b6873451a9998326da31eae3a"
"292",2,350,"3/7/2016 12:00:00 AM","6/8/2016 12:00:00 AM",0,"a596729ef1354ccd92754ccd783e37a9"
"293",3,1500,"6/10/2015 12:00:00 AM","4/13/2016 12:00:00 AM",0,"a596729ef1354ccd92754ccd783e37a9"
"294",3,2000,"5/23/2015 12:00:00 AM","7/3/2016 12:00:00 AM",0,"a6580ca84b764c87ab0f87f8fd1ab1fc"
"295",3,1200,"10/31/2015 12:00:00 AM","10/5/2017 12:00:00 AM",1,"a6580ca84b764c87ab0f87f8fd1ab1fc"
"296",3,600,"12/5/2015 12:00:00 AM","10/5/2016 12:00:00 AM",0,"a8cf31d442ff485fa69ba8285e7b438d"
"297",4,200,"5/5/2016 12:00:00 AM","2/5/2017 12:00:00 AM",0,"a8cf31d442ff485fa69ba8285e7b438d"
"298",5,100,"6/5/2016 12:00:00 AM","3/5/2017 12:00:00 AM",0,"a8cf31d442ff485fa69ba8285e7b438d"
"299",3,3000,"3/8/2016 12:00:00 AM","1/18/2017 12:00:00 AM",0,"a97a2838070d43ffa50514edb73e62f9"
"300",1,150,"12/9/2015 12:00:00 AM","6/13/2016 12:00:00 AM",0,"a97a2838070d43ffa50514edb73e62f9"
"301",3,3000,"2/24/2016 12:00:00 AM","12/29/2016 12:00:00 AM",0,"aa1c9037eab947ec9794e1bad649be03"
"302",1,250,"11/27/2015 12:00:00 AM","5/24/2016 12:00:00 AM",0,"aa2f74d3dff1473bbb65cb2ddf4b4d17"
"303",2,600,"2/13/2016 12:00:00 AM","5/13/2016 12:00:00 AM",0,"abe03f57d7f14212a3c50b80c9844084"
"304",1,250,"2/8/2016 12:00:00 AM","7/11/2016 12:00:00 AM",0,"abe03f57d7f14212a3c50b80c9844084"
"305",2,850,"2/15/2016 12:00:00 AM","6/15/2016 12:00:00 AM",0,"ae05ba4f52004ead99ff3578dda9eac6"
"306",2,350,"2/2/2016 12:00:00 AM","5/2/2016 12:00:00 AM",0,"af3bf85f0eb64b0b8d94da5d9ebd27f1"
"307",1,100,"11/13/2015 12:00:00 AM","6/14/2016 12:00:00 AM",0,"afb7514668e54c909f4d06c7b683e176"
"308",1,500,"2/12/2016 12:00:00 AM","6/12/2016 12:00:00 AM",0,"afe48111deaa492cb8f0d6ca2367d067"
"309",3,3000,"10/12/2015 12:00:00 AM","6/12/2016 12:00:00 AM",1,"afe48111deaa492cb8f0d6ca2367d067"
"310",1,2000,"10/20/2015 12:00:00 AM","5/27/2016 12:00:00 AM",0,"b11cc413f13543eda906fc826277376d"
"311",2,1200,"3/12/2016 12:00:00 AM","6/26/2016 12:00:00 AM",0,"b11cc413f13543eda906fc826277376d"
"312",3,1500,"2/11/2016 12:00:00 AM","2/27/2017 12:00:00 AM",0,"b1f5364c62244f27ace0fa7ca1682e2b"
"313",1,8000,"11/9/2015 12:00:00 AM","3/24/2016 12:00:00 AM",0,"b39a9cbedcc04f3cbfdb0dee2aead3cb"
"314",2,800,"3/14/2016 12:00:00 AM","6/27/2016 12:00:00 AM",0,"b39a9cbedcc04f3cbfdb0dee2aead3cb"
"315",3,12000,"1/20/2016 12:00:00 AM","10/27/2016 12:00:00 AM",0,"b40ca74d52994a35bbc01b108be7cb27"
"316",3,2800,"3/16/2016 12:00:00 AM","4/12/2017 12:00:00 AM",0,"b4233dd3dec948a49661816297fa9dc1"
"317",4,600,"12/30/2015 12:00:00 AM","12/20/2017 12:00:00 AM",0,"b4233dd3dec948a49661816297fa9dc1"
"318",5,600,"12/30/2015 12:00:00 AM","9/1/2016 12:00:00 AM",0,"b4233dd3dec948a49661816297fa9dc1"
"319",3,7000,"1/25/2016 12:00:00 AM","11/22/2016 12:00:00 AM",0,"b8e2f3be540f4313921236e42de5a305"
"320",3,1600,"1/22/2016 12:00:00 AM","11/25/2016 12:00:00 AM",1,"b8e2f3be540f4313921236e42de5a305"
"321",3,3200,"8/28/2015 12:00:00 AM","5/28/2016 12:00:00 AM",3,"b8e2f3be540f4313921236e42de5a305"
"322",4,20,"11/29/2015 12:00:00 AM","4/29/2016 12:00:00 AM",3,"b8e2f3be540f4313921236e42de5a305"
